Fase,URL,Paginanaam,Doel Keywords,Minimum woorden,H1 Suggestie,Belangrijkste Content Elementen,Interne Links Naar,Prioriteit,Opmerkingen
FASE 1,/,Homepage,"ledscherm huren, LED scherm verhuur West-Vlaanderen, Oost-Vlaanderen",500-700,LED-scherm huren in West- & Oost-Vlaanderen | FlexLED,"• Hero met USP's (mobiel, vanaf-prijs, regio)
• 3 schermformaten (6m², 8m², 16m²) met foto + specs
• Toepassingen overview
• Klantervaringen/reviews
• CTA's: ""Vraag offerte"" + ""Bel direct""
• Trust: aantal events, jaren ervaring
• Foto's van schermen in actie","→ /ledscherm-huren/
→ /ledscherm-huren/6m2/
→ /ledscherm-huren/8m2/
→ /ledscherm-huren/16m2/
→ /offerte/",🔴 KRITIEK,Dit is je belangrijkste landingspagina voor organisch verkeer
FASE 1,/ledscherm-huren/,Ledscherm Huren - Hub,"ledscherm huren, mobiel LED scherm verhuur",400-600,LED-scherm huren - Alle formaten & prijzen,"• Intro: wat bieden we aan
• Alle 3 formaten met specs + vanaf-prijzen
• Voordelen LED vs andere opties
• Proces: aanvraag → levering → support
• FAQ sectie (5-7 vragen)
• CTA naar offerte","→ /ledscherm-huren/6m2/
→ /ledscherm-huren/8m2/
→ /ledscherm-huren/16m2/
→ /toepassingen/
→ /offerte/",🔴 KRITIEK,Hub die alle verhuur-paginas verbindt
FASE 1,/ledscherm-huren/6m2/,LED-scherm 6m² huren,"6m2 LED scherm, klein ledscherm huren",300-400,LED-scherm 6m² huren - Compact & mobiel,"• Specs: resolutie, helderheid, afmetingen trailer
• Ideale toepassingen (lokale events, kleine publiek)
• Foto's + eventueel video
• Prijs ""vanaf €..."" duidelijk
• Technische details (360° draaibaar?)
• CTA: offerte + contact","← /ledscherm-huren/
→ /offerte/
→ /toepassingen/bedrijfsevenement/",🔴 KRITIEK,Concrete productpagina
FASE 1,/ledscherm-huren/8m2/,LED-scherm 8m² huren,"8m2 LED scherm huren, middelgroot ledscherm",300-400,LED-scherm 8m² huren - Veelzijdig & opvallend,"• Specs: resolutie, helderheid, afmetingen
• Ideale toepassingen (festivals, sport, bedrijf)
• Foto's van 8m² in gebruik
• Prijsindicatie
• Vergelijking met 6m² en 16m²
• CTA: offerte","← /ledscherm-huren/
→ /offerte/
→ /toepassingen/festival/",🔴 KRITIEK,Meest populaire formaat - benadruk dit
FASE 1,/ledscherm-huren/16m2/,LED-scherm 16m² huren,"16m2 LED scherm, groot ledscherm huren",300-400,LED-scherm 16m² huren - XXL impact,"• Specs: resolutie, helderheid, afmetingen
• Ideale voor grote publiek (>500 personen)
• Toepassingen: grote festivals, sport, WK/EK
• Indrukwekkende foto's
• Premium positionering
• CTA: offerte","← /ledscherm-huren/
→ /offerte/
→ /toepassingen/sportwedstrijd/",🔴 KRITIEK,Premium product - showcase grote events
FASE 1,/ledscherm-huren/west-vlaanderen/,LED-scherm huren West-Vlaanderen,"ledscherm huren West-Vlaanderen, Brugge, Kortrijk",400-500,LED-scherm huren in West-Vlaanderen - Lokale service,"• Intro: gevestigd in Oostkamp/regio
• Snelle levering door West-Vlaanderen
• Noem 8-12 steden/gemeentes expliciet
• Cases van events in West-Vl (als beschikbaar)
• Geen transportkosten binnen regio
• Lokale referenties
• CTA met telefoonnummer prominent","← /ledscherm-huren/
→ /ledscherm-huren/6m2/
→ /realisaties/
→ /offerte/",🔴 KRITIEK,Cruciale lokale SEO-pagina - hier moet je #1 staan
FASE 1,/ledscherm-huren/oost-vlaanderen/,LED-scherm huren Oost-Vlaanderen,"ledscherm huren Oost-Vlaanderen, Gent, Oudenaarde",400-500,LED-scherm huren in Oost-Vlaanderen - Snel geleverd,"• Intro: ook in Oost-Vlaanderen actief
• Snelle levering, korte afstand vanaf Oostkamp
• Noem 8-12 steden (Gent, Oudenaarde, Aalst, etc.)
• Ervaring met events in Oost-Vl
• Prijs/transportinfo
• CTA","← /ledscherm-huren/
→ /ledscherm-huren/6m2/
→ /realisaties/
→ /offerte/",🔴 KRITIEK,Tweede lokale focus - ook hier top 3 bereiken
FASE 1,/offerte/,Offerte Aanvragen,N/A (conversie pagina),200-300,Vraag nu een vrijblijvende offerte aan,"• Simpel formulier:
  - Naam + bedrijf
  - Email + telefoon
  - Type event
  - Gewenste datum
  - Schermformaat (dropdown)
  - Bericht
• Verwachting: ""Reactie binnen 24u""
• Trust elementen (reviews)
• Alternatief: bel direct","← Alle pagina's
→ /contact/",🔴 KRITIEK,Belangrijkste conversie-pagina
FASE 1,/contact/,Contact,N/A,200-300,Contact opnemen met FlexLED,"• Adres + Google Maps
• Telefoon + email
• Openingstijden (indien van toepassing)
• Contactformulier
• Link naar offerte-pagina",← Footer van alle pagina's,🟠 HOOG,Standaard contactpagina
FASE 1,/over-ons/,Over FlexLED,N/A (brand),300-400,Over FlexLED - LED-schermen met zorg,"• Wie zijn jullie
• Waarom LED-schermen
• Ervaring / aantal events
• Team (optioneel met foto)
• Waarom klanten voor jullie kiezen
• USP's herhalen","→ /contact/
→ /offerte/",🟠 HOOG,Trust & brand building
